416,416,416,416,416,416,418,416,416,480,416,480,419,480,416,416
480,416,418,416,480,416,416,480,480,419,416,419,419,419,416,480
419,480,416,416,419,480,480,419,419,419,480,419,419,419,480,419
419,419,480,480,419,419,419,419,419,419,419,419,419,419,419,419
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419
419,419,419,419,352,419,419,419,419,419,352,419,419,419,419,352
352,419,419,352,416,354,419,419,419,352,416,354,419,419,419,416
416,352,419,480,416,419,419,419,419,416,416,419,419,419,419,416
416,480,419,419,480,419,419,419,352,416,480,419,419,419,419,416
416,419,419,419,419,419,419,352,416,416,419,419,419,419,419,480
480,419,419,419,419,419,352,416,418,416,352,352,419,419,419,419
419,419,419,419,352,352,416,416,416,416,480,416,354,419,419,419
419,419,419,352,416,416,416,416,416,416,419,480,419,419,419,419
419,352,352,416,416,418,416,416,416,416,419,419,419,419,419,419
352,416,416,416,416,416,416,418,416,416,352,419,419,419,352,352
416,416,416,418,416,416,416,416,416,416,416,352,419,352,416,416
