416,418,480,480,480,480,480,480,480,480,418,480,480,480,480,416
480,351,351,351,351,351,351,351,351,351,351,351,351,351,351,480
351,351,351,351,351,351,351,353,354,353,351,351,351,351,351,419
351,351,351,351,351,351,351,351,351,351,351,351,419,419,419,419
351,351,351,351,351,351,351,351,351,351,351,351,351,351,419,419
352,352,352,354,353,351,351,351,351,351,351,351,351,351,351,419
416,480,484,351,351,351,351,351,351,351,351,353,353,354,352,352
416,482,351,351,351,351,351,351,351,351,351,351,351,351,480,416
416,351,351,351,351,351,351,351,351,351,351,351,351,351,351,416
416,352,354,353,351,351,351,351,351,351,354,353,353,354,352,416
480,480,351,351,351,351,351,351,351,351,351,351,351,351,480,480
419,351,351,351,351,351,351,351,351,351,351,351,351,351,419,351
419,419,351,351,351,351,351,351,351,351,351,351,351,351,419,419
419,419,419,352,352,352,351,351,351,418,351,351,351,419,419,419
352,419,352,416,416,416,352,352,352,352,352,418,355,418,352,352
416,416,416,416,418,416,416,416,416,544,416,418,355,418,416,416
