416,418,416,416,416,416,416,416,416,416,416,418,355,418,416,416
480,355,480,480,480,480,480,480,480,416,416,418,355,418,416,416
351,355,351,351,351,351,346,351,351,480,480,480,351,480,416,416
351,355,351,351,351,351,346,351,351,351,351,346,351,351,416,416
351,351,351,351,346,346,473,346,346,351,351,346,351,416,416,416
352,351,351,351,346,351,346,351,351,346,346,473,346,416,416,416
416,351,351,351,346,351,346,351,351,351,351,346,351,416,416,416
416,351,346,346,473,346,346,351,346,351,351,346,416,416,416,416
416,351,351,351,346,351,351,351,346,351,351,351,480,480,416,416
416,351,351,351,346,351,346,346,473,346,346,351,346,351,416,416
480,544,351,351,351,346,351,351,346,351,351,351,346,351,480,416
544,544,544,351,351,346,351,351,346,351,346,346,473,346,346,420
544,544,352,346,346,473,346,346,351,351,351,351,346,351,351,420
544,352,416,352,351,346,351,351,352,352,352,351,346,351,351,420
352,416,416,416,352,352,352,352,416,416,416,352,420,352,352,352
416,416,416,416,416,416,416,416,416,416,416,416,420,416,416,416
